iter	Passed	Remaining
675	1119	536
676	1120	534
677	1121	532
678	1122	530
679	1123	528
680	1124	526
681	1125	524
682	1126	522
683	1128	521
684	1129	519
685	1129	517
686	1130	515
687	1131	513
688	1132	511
689	1133	509
690	1134	507
691	1135	505
692	1136	503
693	1137	501
694	1138	499
695	1139	497
696	1141	496
697	1142	494
698	1143	492
699	1144	490
700	1145	488
701	1146	486
702	1146	484
703	1147	482
704	1148	480
705	1149	478
706	1150	476
707	1151	475
708	1153	473
709	1154	471
710	1155	469
711	1156	467
712	1157	465
713	1158	463
714	1159	462
715	1160	460
716	1160	458
717	1161	456
718	1162	454
719	1164	452
720	1165	451
721	1166	449
722	1167	447
723	1168	445
724	1169	443
725	1170	441
726	1171	439
727	1172	438
728	1173	436
729	1174	434
730	1175	432
731	1177	431
732	1178	429
733	1179	427
734	1180	425
735	1181	423
736	1182	422
737	1183	420
738	1184	418
739	1186	416
740	1187	415
741	1188	413
742	1194	413
743	1195	411
744	1205	412
745	1207	411
746	1208	409
747	1209	407
748	1210	405
749	1211	403
750	1215	402
751	1220	402
752	1221	400
753	1223	399
754	1224	397
755	1226	395
756	1228	394
757	1230	392
758	1233	391
759	1236	390
760	1237	388
761	1239	387
762	1241	385
763	1242	383
764	1243	382
765	1244	380
766	1246	378
767	1247	376
768	1254	376
769	1255	374
770	1256	373
771	1257	371
772	1258	369
773	1259	367
774	1260	366
775	1261	364
776	1262	362
777	1263	360
778	1264	358
779	1265	356
780	1266	355
781	1267	353
782	1268	351
783	1269	349
784	1270	348
785	1272	346
786	1273	344
787	1274	342
788	1275	341
789	1276	339
790	1277	337
791	1278	335
792	1278	333
793	1279	332
794	1280	330
795	1281	328
796	1282	326
797	1283	324
798	1285	323
799	1286	321
800	1287	319
801	1288	318
802	1289	316
803	1290	314
804	1291	312
805	1292	311
806	1293	309
807	1294	307
808	1295	305
809	1302	305
810	1303	303
811	1305	302
812	1306	300
813	1307	298
814	1309	297
815	1310	295
816	1311	293
817	1312	291
818	1313	290
819	1314	288
820	1315	286
821	1316	285
822	1317	283
823	1318	281
824	1319	279
825	1320	278
826	1321	276
827	1322	274
828	1325	273
829	1326	271
830	1327	270
831	1328	268
832	1330	266
833	1331	264
834	1332	263
835	1333	261
836	1334	259
837	1335	258
838	1337	256
839	1338	254
840	1341	253
841	1342	251
842	1345	250
843	1346	248
844	1347	247
845	1348	245
846	1349	243
847	1350	241
848	1352	240
849	1353	238
850	1354	237
851	1355	235
852	1355	233
853	1356	231
854	1357	230
855	1358	228
856	1359	226
857	1360	225
858	1361	223
859	1363	221
860	1364	220
861	1365	218
862	1365	216
863	1366	215
864	1370	213
865	1371	212
866	1372	210
867	1373	208
868	1375	207
869	1376	205
870	1376	203
871	1377	202
872	1378	200
873	1381	199
874	1382	197
875	1383	195
876	1385	194
877	1386	192
878	1387	191
879	1389	189
880	1390	187
881	1391	186
882	1392	184
883	1393	182
884	1393	181
885	1396	179
886	1397	178
887	1400	176
888	1401	175
889	1402	173
890	1403	171
891	1404	170
892	1405	168
893	1406	166
894	1408	165
895	1409	163
896	1410	161
897	1411	160
898	1412	158
899	1413	157
900	1413	155
901	1414	153
902	1415	152
903	1416	150
904	1417	148
905	1418	147
906	1419	145
907	1420	143
908	1421	142
909	1422	140
910	1422	139
911	1424	137
912	1424	135
913	1425	134
914	1426	132
915	1427	130
916	1428	129
917	1429	127
918	1430	126
919	1431	124
920	1432	122
921	1433	121
922	1434	119
923	1435	118
924	1436	116
925	1437	114
926	1438	113
927	1439	111
928	1440	110
929	1441	108
930	1443	106
931	1444	105
932	1445	103
933	1446	102
934	1446	100
935	1447	98
936	1448	97
937	1449	95
938	1450	94
939	1451	92
940	1452	91
941	1453	89
942	1454	87
943	1455	86
